bar,timestamp,side,entry,exit,size,pnl,bars_held,confidence
1334,1782009360000,short,64198.4,64228.0,0.0071506342387995005,-1.13,7,HIGH
1339,1782010260000,short,64212.6,64219.6,0.007143550352989556,-0.9675,4,HIGH
1365,1782014940000,long,64224.0,64345.4,0.0071355289748192266,-0.0512,25,LOW
1379,1782017460000,long,64400.2,64307.1,0.0071156088668680225,-1.5783,12,MEDIUM
1400,1782021240000,short,64286.6,64220.9,0.0071159073143200295,-0.4469,20,LOW
1403,1782021780000,long,64223.4,64162.3,0.007112150802789841,-1.3477,2,MEDIUM
1413,1782023580000,short,64179.8,64256.0,0.007106483355061982,-1.4542,9,LOW
1425,1782025740000,long,64275.0,64239.9,0.007093069996259632,-1.1605,11,MEDIUM
1468,1782033480000,short,64230.0,63957.8,0.007089005262969366,1.0209,42,LOW
1513,1782041580000,long,63978.4,64230.0,0.007094701218376952,0.8754,44,LOW
1544,1782047160000,short,64231.2,64123.4,0.007073592672988156,-0.1454,30,LOW
1553,1782048780000,long,64124.0,63989.2,0.0070723927854330765,-1.8594,8,MEDIUM
1563,1782050580000,short,64014.1,64083.5,0.007070011173533222,-1.3963,9,HIGH
1580,1782053640000,short,64063.1,64116.5,0.007061364590844702,-1.2822,16,HIGH
1606,1782058320000,long,64122.0,64111.0,0.007050760782726123,-0.9817,25,LOW
1624,1782061560000,short,64140.9,64163.7,0.00704103050661799,-1.0639,17,HIGH
1629,1782062460000,long,64188.0,64118.9,0.007030077320812918,-1.3878,4,LOW
1635,1782063540000,long,64121.4,64057.2,0.0070265575951711685,-1.3518,5,LOW
1652,1782066600000,short,64096.5,64124.7,0.0070187425292569695,-1.0979,16,HIGH
1673,1782070380000,long,64136.2,64159.5,0.007008925053267666,-0.7359,20,LOW
1687,1782072900000,long,64171.2,64100.0,0.006999368338215243,-1.3962,13,MEDIUM
1715,1782077940000,short,64053.6,63907.6,0.0070013204457586315,0.1263,27,HIGH
1725,1782079740000,long,63829.8,63559.1,0.007010843434085533,-2.7909,8,MEDIUM
1738,1782082080000,short,63594.9,63705.6,0.007014796229786022,-1.6695,12,LOW
1751,1782084420000,long,63758.2,63603.3,0.006995916449824694,-1.9747,12,HIGH
1768,1782087480000,short,63400.0,63640.0,0.00701986910497968,-2.5766,16,HIGH
